typed_by_dry,recorded_by_dry,typed_date_ymd,record_date_ymd,block ,pot_ID,treatment,fine/coarse,envelope_num,below_dry_g,remarks
SK,SK,2019-01-23,2019-01-21,B1,PLMA-11,WW,fine,1,0.1238,-
SK,SK,2019-01-23,2019-01-21,B3,PLMA-12,WW,fine,1,0.3126,-
SK,SK,2019-01-23,2019-01-21,B4,PLMA-13,WD,fine,1,0.4204,-
SK,GX,2019-01-23,2019-01-22,B3,PLMA-14,WD,fine,1,0.1416,-
SK,GX,2019-01-23,2019-01-22,B5,PLMA-15,WD,fine,1,2.4157,-
SK,GX,2019-01-23,2019-01-22,B1,PLMA-16,WD,fine,1,0.1223,-
SK,GX,2019-01-23,2019-01-22,B2,PLMA-17,WW,fine,1,0.3882,-
SK,SK,2019-01-23,2019-01-21,B2,PLMA-18,WD,fine,1,0.3794,-
SK,GX,2019-01-23,2019-01-22,B5,PLMA-19,WD,fine,1,0.4554,-
SK,SK,2019-01-23,2019-01-21,B5,PLMA-20,WW,fine,1,0.2396,-
GX,JHD,2019-02-04,2019-02-04,B2,SEAC-01,WW,fine,1,0.0219,"changed from ""B2"" to ""B1"" (GX)"
GX,GX,2019-02-04,2019-02-04,B2,SEAC-02,WW,fine,1,0.1449,-
GX,GX,2019-04-10,2019-04-10,B2,SEAC-03,WD,fine,1,0.275,-
GX,GX,2019-05-03,2019-04-10,B3,SEAC-04,WW,fine,1,0.1756,-
GX,JHD,2019-02-04,2019-02-04,B5,SEAC-05,WW,fine,1,0.1778,-
GK,GK,2019-04-30,2019-04-30,B5,SEAC-06,WD,fine,1,0.945,"typo? changed from ""SEAL-60"" to ""SEAC-6"" (GX)"
GX,JHD,2019-02-04,2019-02-04,B5,SEAC-07,WD,fine,1,0.2416,-
GX,JHD,2019-02-04,2019-02-04,B4,SEAC-08,WW,fine,1,0.1449,-
GX,JHD,2019-02-04,2019-02-04,B1,SEAC-09,WW,fine,1,0.1125,-
GX,JHD,2019-02-04,2019-02-04,B3,SEAC-10,WW,fine,1,0.2251,-
GX,JHD,2019-02-04,2019-02-04,B1,SEAC-11,WD,fine,1,0.346,-
GX,JHD,2019-02-04,2019-02-04,B1,SEAC-12,WW,fine,1,0.013,-
GX,JHD,2019-02-04,2019-02-04,B2,SEAC-13,WD,fine,1,0.2268,-
GX,JHD,2019-02-04,2019-02-04,B4,SEAC-14,WW,fine,1,0.2215,-
GX,JHD,2019-02-04,2019-02-04,B3,SEAC-15,WD,fine,1,0.2264,-
GX,GX,2019-02-04,2019-02-04,B4,SEAC-16,WD,fine,1,0.4071,"typo; changed from ""B5"" to ""B4"" (GX)"
GX,JHD,2019-02-04,2019-02-04,B1,SEAC-17,WD,fine,1,0.0549,-
GX,JHD,2019-02-04,2019-02-04,B4,SEAC-18,WD,fine,1,0.278,-
GX,JHD,2019-02-04,2019-02-04,B3,SEAC-19,WD,fine,1,0.0848,-
GX,JHD,2019-02-04,2019-02-04,B5,SEAC-20,WW,fine,1,0.2991,-
GX,GX,2019-04-10,2019-04-10,B3,SEAL-01,WD,fine,1,0.2672,-
GX,GX,2019-04-10,2019-04-10,B2,SEAL-02,WW,coarse,1,0.0157,-
GX,GX,2019-04-10,2019-04-10,B2,SEAL-02,WW,fine,1,0.3278,-
GX,JHD,2019-02-04,2019-02-04,B3,SEAL-03,WD,fine,1,0.2914,-
GX,JHD,2019-02-04,2019-02-04,B1,SEAL-04,WD,fine,1,0.5407,-
GX,GX,2019-04-10,2019-04-10,B1,SEAL-04,WD,fine,1,0.1756,-
GX,GX,2019-04-10,2019-04-10,B1,SEAL-05,WW,fine,1,0.2333,-
GX,JHD,2019-02-04,2019-02-04,B5,SEAL-06,WW,fine,1,0.0879,"changed from ""WD"" to ""WW"" (GX)"
GX,JHD,2019-02-04,2019-02-04,B1,SEAL-07,WW,fine,1,0.3051,-
GX,GX,2019-04-10,2019-04-10,B2,SEAL-08,WD,fine,1,0.6564,-
GX,JHD,2019-02-04,2019-02-04,B3,SEAL-09,WW,fine,1,0.2104,-
GX,JHD,2019-02-04,2019-02-04,B4,SEAL-10,WW,fine,1,0.1759,-
GX,GX,2019-04-10,2019-04-10,B4,SEAL-11,WW,fine,1,0.5238,-
GX,JHD,2019-02-04,2019-02-04,B2,SEAL-12,WD,fine,1,0.547,-
GX,JHD,2019-02-04,2019-02-04,B2,SEAL-13,WW,fine,1,0.3098,-
GX,GX,2019-04-10,2019-04-10,B1,SEAL-14,WD,fine,1,0.458,-
GX,JHD,2019-02-04,2019-02-04,B5,SEAL-15,WW,fine,1,0.1545,-
GX,GX,2019-04-10,2019-04-10,B3,SEAL-16,WW,coarse,1,0.0237,-
GX,GX,2019-04-10,2019-04-10,B3,SEAL-16,WW,fine,1,0.5985,-
GX,GX,2019-04-10,2019-04-10,B4,SEAL-17,WD,fine,1,0.6768,-
GX,GX,2019-04-10,2019-04-10,B5,SEAL-18,WD,fine,1,0.4053,-
GX,GX,2019-04-10,2019-04-10,B5,SEAL-19,WD,fine,1,0.3907,-
GX,GX,2019-04-10,2019-04-10,B4,SEAL-20,WD,coarse,1,0.0558,"changed from ""SEAL-20?"" to ""SEAL-20"" (GX)"
GK,GK,2019-04-30,2019-04-30,B4,SEAL-20,WD,fine,1,0.7152,-
GX,GX,2019-04-10,2019-04-10,B4,SESE-01,WD,fine,1,0.731,-
GX,GX,2019-04-10,2019-04-10,B4,SESE-02,WW,fine,1,0.6814,"typo; changed from ""B4"" to ""B2"" (GX)"
GX,GX,2019-04-10,2019-04-10,B2,SESE-03,WW,fine,1,0.4346,-
GX,GX,2019-04-10,2019-04-10,B5,SESE-04,WW,fine,1,0.3445,-
GX,GX,2019-04-10,2019-04-10,B5,SESE-05,WD,fine,1,0.9584,-
GX,GX,2019-04-10,2019-04-10,B5,SESE-06,WD,fine,1,0.6238,-
GX,GX,2019-04-10,2019-04-10,B2,SESE-07,WD,fine,1,0.7855,-
GX,GX,2019-04-10,2019-04-10,B2,SESE-08,WW,fine,1,0.7167,-
GX,GX,2019-04-10,2019-04-10,B1,SESE-09,WW,fine,1,0.7636,-
GX,GX,2019-04-10,2019-04-10,B2,SESE-10,WD,fine,1,0.5661,-
